Pozicija;Numeris;Dalyvis;Klubas;Laikas
1;14;Symes Matthew;Adelaide, South Australia;37:41,2
2;31;Vitulskis Tomas;Vilnius;37:41,2
3;40;Križinauskas Nerijus;Peugeot, Lietuva, Kaunas;58:16,1
4;127;Michalkovskij Anton;Maratonas, Klaipėda, Lietuva;58:16,1
5;203;Balčiūnaitė Živilė;Vilniaus Baltai, Vilnius;1:04:24,4
6;223;Vaičiulienė Austėja;Vilnius;1:04:24,4
7;234;Damašickienė Vilija;Maratonas, Jonava;1:07:08,4
8;239;Sakalaitė Eglė;Kaunas;1:07:08,4
9;225;Trainoviciutė Samanta;Druskininkai;1:07:22,9
10;227;Šalnienė Renata;Kauno Maratono Klubas, Kaunas;1:07:22,9
11;222;Vilkickaitė Violeta;Utena, Lietuva;1:10:46,5
12;209;Galvydienė Sonata;"""Bk """"Maratonas''"", Jonava, Lietuva";1:10:46,5
13;228;Čerlina Svetlana;Small Planet Airlines, Vilnius;1:10:56,4
14;215;Plegevičiūtė Indrė;Klaipėda, Lietuva;1:10:56,4
15;235;Striūkienė Birutė;Inžinerija, Vilnius;1:13:08,1
16;224;Buteikytė Asta;Vilnius;1:13:08,1
17;236;Ivanauskaitė Ramunė;Plaukimo Neigaliuju Takas Klubas, Kaunas Lietuva;1:13:53,6
18;238;Borusienė Audronė;Kauno Bmk, Kaunas;1:13:53,6
19;221;Stonytė Striūkienė Viktorija;Inžinerija, Vilnius, Lithuania;1:13:56,7
20;213;Jonaitytė Agne;Vilnius;1:13:56,7
21;237;Dobrovolskienė Ida;Kauno Bmk, Kaunas;1:15:00,9
22;207;Gorelčionkienė Rūta;F.O.C.U.S. Running, Vilnius;1:15:00,9
23;218;Šedbaraitė Indrė;Kauno Bmk, Londonas, Didžioji Britanija;1:16:33,4
24;208;Zacharova Viktorija;F.O.C.U.S. Running, Vilnius;1:16:33,4
25;211;Bružikienė Inga;Bėgimo Klubas, Kaunas Lietuva;1:17:34,3
26;214;Žukauskaitė Eglė;Lietuva;1:17:34,3
27;230;Litvinavičienė Gintarė;Maratonas, Jonava;1:18:06,9
28;229;Bičkūnienė Danguolė;Ltu Trail Running People, Lietuva;1:18:06,9
29;210;Petrauskienė Vilma;Bėgimo Klubas, Mažeikių R.;1:18:24,7
30;219;Girdvainytė Rita;Klaipėda;1:18:24,7
31;206;Und Ei Hue;Deutschland;1:19:20,4
32;220;Silenas Pudžiuvelienė Lindre;Huracan, Vilnius, Lietuva;1:19:20,4
33;233;Kučinskienė Violeta;Kambariokai, Molėtai, Lietuva;1:19:50,9
34;246;Ritchik Ugnė ;Vilnius;1:19:50,9
35;212;Kvedaravičiūtė Vilija;Šiauliai;1:19:57,5
36;232;Grinkevič Ala;Nidos Kopos, Lietuva;1:19:57,5
37;204;Mačionytė Miglė;Jokers, Vilnius;1:20:06,0
38;227;Šalnienė Renata;Kauno Maratono Klubas, Kaunas;1:20:06,0
39;228;Čerlina Svetlana;Small Planet Airlines, Vilnius;1:20:41,0
40;230;Litvinavičienė Gintarė;Maratonas, Jonava;1:20:41,0
41;229;Bičkūnienė Danguolė;Ltu Trail Running People, Lietuva;1:21:18,4
42;232;Grinkevič Ala;Nidos Kopos, Lietuva;1:21:18,4
43;233;Kučinskienė Violeta;Kambariokai, Molėtai, Lietuva;1:21:23,5
44;234;Damašickienė Vilija;Maratonas, Jonava;1:21:23,5
45;235;Striūkienė Birutė;Inžinerija, Vilnius;1:21:40,8
46;236;Ivanauskaitė Ramunė;Plaukimo Neigaliuju Takas Klubas, Kaunas Lietuva;1:21:40,8
47;238;Borusienė Audronė;Kauno Bmk, Kaunas;1:21:44,8
48;237;Dobrovolskienė Ida;Kauno Bmk, Kaunas;1:21:44,8
49;203;Balčiūnaitė Živilė;Vilniaus Baltai, Vilnius;1:22:40,2
50;223;Vaičiulienė Austėja;Vilnius;1:22:40,2
51;239;Sakalaitė Eglė;Kaunas;1:23:12,1
52;225;Trainoviciutė Samanta;Druskininkai;1:23:12,1
53;222;Vilkickaitė Violeta;Utena, Lietuva;1:23:45,3
54;209;Galvydienė Sonata;"""Bk """"Maratonas''"", Jonava, Lietuva";1:23:45,3
55;215;Plegevičiūtė Indrė;Klaipėda, Lietuva;1:24:34,8
56;224;Buteikytė Asta;Vilnius;1:24:34,8
57;221;Stonytė Striūkienė Viktorija;Inžinerija, Vilnius, Lithuania;1:25:43,0
58;213;Jonaitytė Agne;Vilnius;1:25:43,0
59;207;Gorelčionkienė Rūta;F.O.C.U.S. Running, Vilnius;1:26:11,7
60;218;Šedbaraitė Indrė;Kauno Bmk, Londonas, Didžioji Britanija;1:26:11,7
61;208;Zacharova Viktorija;F.O.C.U.S. Running, Vilnius;1:26:47,6
62;211;Bružikienė Inga;Bėgimo Klubas, Kaunas Lietuva;1:26:47,6
63;214;Žukauskaitė Eglė;Lietuva;1:27:05,3
64;210;Petrauskienė Vilma;Bėgimo Klubas, Mažeikių R.;1:27:05,3
65;219;Girdvainytė Rita;Klaipėda;1:27:22,6
66;206;Und Ei Hue;Deutschland;1:27:22,6
67;220;Silenas Pudžiuvelienė Lindre;Huracan, Vilnius, Lietuva;1:28:00,2
68;246;Ritchik Ugnė ;Vilnius;1:28:00,2
69;212;Kvedaravičiūtė Vilija;Šiauliai;1:28:10,1
70;204;Mačionytė Miglė;Jokers, Vilnius;1:28:10,1
71;280;Gudauskas Modestas;Žingsnis savęs link, Šilalė;1:28:21,0
72;6;Dopolskas Valdas;Vilniaus Baltai, Vilnius;1:28:21,0
73;1;Sadeckas Darius;F.O.C.U.S. Running, Vilnius, Lietuva;1:28:24,9
74;2;Viršilas Mindaugas;"""""""Pilėnai"""""", Raseiniai";1:28:24,9
75;80;Pavlichuk Valeriy;Kaliningrad, Russia;1:28:34,2
76;4;Skinulis Aurimas;Kauno Maratono Klubas, Kacergine;1:28:34,2
