Pozicija;Dalyvis;Metai;Distancija;Laikas
1;Tomas Venckūnas;2010;42;2:37:27
1;Tomas Matijošius;2010;4.2;12:13:21
2;Antanas Žukauskas;2010;42;2:39:21
2;Andrej Jegorov;2010;4.2;12:14:06
3;Tadas Kavaliauskas;2010;42;2:41:24
3;Dalius Pavliukovičius;2010;4.2;12:14:24
4;Jens Henrik Lennart Jensen;2010;42;2:42:52
4;Andrius Zonys;2010;4.2;12:14:27
5;Petras Pranckūnas;2010;42;2:50:56
5;Aleksandr Malyško;2010;4.2;12:14:50
6;Justinas Križinauskas;2010;42;2:51:06
6;Jevgenijus Galuška;2010;4.2;12:15:00
7;Vidas Totilas;2010;42;2:55:02
7;Vaida Žūsinaitė;2010;4.2;12:15:00
8;Andrius Ramonas;2010;42;2:55:19
8;Andrius Bondorovas;2010;4.2;12:15:06
9;Ernestas Vedeikis;2010;42;2:57:32
9;Mažvydas Kekys;2010;4.2;12:15:10
10;Antanas Kasparavičius;2010;42;2:57:39
10;Justas Maksimavičius;2010;4.2;12:15:21
11;Marcin Soszka;2010;42;2:58:41
11;Mindaugas Didikas;2010;4.2;12:15:43
12;Mihails Selivanovs;2010;42;2:59:37
12;Eglė Krištaponytė;2010;4.2;12:15:43
13;Jonas Beleška;2010;42;3:00:43
13;Kęstutis Bikas;2010;4.2;12:15:44
14;Vytautas Gražys;2010;42;3:01:13
14;Aidas Barkauskas;2010;4.2;12:15:44
15;Aigars Rublis;2010;42;3:01:53
15;Martynas Šalaševičius;2010;4.2;12:15:59
16;Tomas Aukštonis;2010;42;3:03:16
16;Justas Paškevičius;2010;4.2;12:16:08
17;Czeslaw Sienkiewicz;2010;42;3:05:12
17;Denisas Tichonovas;2010;4.2;12:16:16
18;Gintautas Černiauskas;2010;42;3:07:06
18;Silvijus Kačinskas;2010;4.2;12:16:22
19;Rolandas Kazlas;2010;42;3:08:03
19;Dainius Virbickas;2010;4.2;12:16:38
20;Mindaugas Garmus;2010;42;3:09:32
20;Dominykas Beleckas;2010;4.2;12:16:40
21;Virgilijus Muralis;2010;42;3:13:52
21;Darius Vitkus;2010;4.2;12:17:01
22;Modesta Kaminskienė;2010;42;3:14:36
22;Mark Stepuno;2010;4.2;12:17:14
23;Mindaugas Kaminskas;2010;42;3:14:37
23;Voitech Končanin;2010;4.2;12:17:24
24;Rytis Zajančkauskas;2010;42;3:15:01
24;Arnas Gabrėnas;2010;4.2;12:17:31
25;Krzysztof Bielicki;2010;42;3:15:34
25;Gedas Jucevičius;2010;4.2;12:17:35
26;Louis Kinsbergen;2010;42;3:15:57
26;Marius Gotbergas;2010;4.2;12:17:36
27;Paulius Aleksandravičius;2010;42;3:18:05
27;Andrius Vilkas;2010;4.2;12:17:38
28;Albert Veikša;2010;42;3:18:19
28;Simonas Stelmokas;2010;4.2;12:17:42
29;Vladimir Posled;2010;42;3:18:29
29;Mantas Ūsas;2010;4.2;12:17:47
30;Daivaras Genys;2010;42;3:18:37
30;Vilius Dičmonas;2010;4.2;12:17:51
31;Egidijus Stankus;2010;42;3:18:55
31;Edgaras Abušovas;2010;4.2;12:17:54
32;Ignas Staškevičius;2010;42;3:19:00
32;Vytautas Svilainis;2010;4.2;12:17:59
33;Saulius Varapnickas;2010;42;3:19:22
