Pozicija;Dalyvis;Metai;Distancija;Laikas
1;Tomas Venckūnas;2012;42;2:26:55
2;Krzystof Jaroslaw Bartkiewicz;2012;42;2:31:22
3;Dzmitry Hryhoryeu;2012;42;2:33:48
4;Tadas Kavaliauskas;2012;42;2:41:03
5;Marijus Rindzevičius;2012;42;2:47:21
6;Riccardo Tortini;2012;42;2:49:19
7;Donatas Stulgys;2012;42;2:50:14
8;Janis Actins;2012;42;2:52:09
9;Vidas Totilas;2012;42;2:52:33
10;Antanas Žukauskas;2012;42;2:55:11
11;Alexander Shelopukho;2012;42;2:56:26
12;Alfonsas Kazlauskas;2012;42;2:58:01
13;Kostas Zenov;2012;42;2:58:12
14;Pavel Klimov;2012;42;2:59:31
15;Alastair Payne;2012;42;3:00:07
16;Vytautas Gražys;2012;42;3:00:08
17;Nerijus Mikucionis;2012;42;3:01:29
18;Siarhey Sauchits;2012;42;3:04:22
19;Virgilijus  Muralis;2012;42;3:05:06
20;Dominic McCarter;2012;42;3:05:27
21;Jevgenijus Galuška;2012;42;3:06:03
22;Anastasia Bulavintceva;2012;42;3:06:06
23;Gintaras Gruodis;2012;42;3:06:06
24;Dominykas Beleckas;2012;42;3:07:16
25;Giedrius Juška;2012;42;3:08:25
26;Saulius Litvinavicius;2012;42;3:08:42
27;Rimas Šilinskas;2012;42;3:09:22
28;Simon Sikora;2012;42;3:10:15
29;Pollet Stephane;2012;42;3:10:23
30;Marius Noreika;2012;42;3:10:41
31;Nabil Bendafi;2012;42;3:11:10
32;Martynas Džiaugys;2012;42;3:11:20
33;Giuseppe Tortini;2012;42;3:11:46
34;Gintautas Černiauskas;2012;42;3:11:57
35;Virgilijus Tikuisis;2012;42;3:12:27
36;Ramūnas Vilčinskas;2012;42;3:13:00
37;Jürgen Behrendt;2012;42;3:13:20
38;Vytautas Poška;2012;42;3:14:21
39;Vilius Olisauskas;2012;42;3:14:27
40;Juozas Mačys;2012;42;3:14:33
41;Justinas Jazepčikas;2012;42;3:15:37
42;Modesta Kaminskienė;2012;42;3:15:52
43;Franco delleani;2012;42;3:16:07
44;Svajūnas Pajaujis;2012;42;3:16:20
45;Darius Jazepčikas;2012;42;3:16:36
46;Renata Siliuk;2012;42;3:16:36
47;Vladimir Posled;2012;42;3:16:47
48;Mindaugas Mikalonis;2012;42;3:16:59
49;Rytis Zajančkauskas;2012;42;3:18:43
50;Arturs Jermolovs;2012;42;3:20:03
51;Martin Ekstrom;2012;42;3:20:23
52;Tomas Kazragis;2012;42;3:21:05
53;Mindaugas Audzijonis;2012;42;3:21:25
54;Dainius Liutkus;2012;42;3:21:30
55;Mantas Žuolys;2012;42;3:21:36
56;Satireyo Luigi;2012;42;3:22:03
57;Rimantas Rozitas;2012;42;3:22:07
58;Modestas Zauka;2012;42;3:22:57
59;Remigijus Rupeika;2012;42;3:23:41
60;Ramūnas Grumbinas;2012;42;3:24:30
61;Jyrki Rantala;2012;42;3:24:31
62;Carlo Alberto Lonardi;2012;42;3:24:42
63;Linas Jocius;2012;42;3:25:22
64;Andrius Kurganovas;2012;42;3:25:23
65;Edgaras Suchockas;2012;42;3:26:19
66;Kęstas Aleksiūnas;2012;42;3:26:51
67;Justinas Sinkevičius;2012;42;3:27:07
68;Alvydas Janutis;2012;42;3:27:59
69;Artiom Neznanov;2012;42;3:28:00
70;Jurij Džuplij;2012;42;3:28:09
71;Marius Banys;2012;42;3:28:26
72;Alexander Nikulin;2012;42;3:28:26
73;Mantas Mendelevičius;2012;42;3:28:42
74;Arvydas Krikščiūnas;2012;42;3:28:40
75;Mariusz Szwaj;2012;42;3:28:59
76;Ignas Mateika;2012;42;3:29:02
77;Tadas Žukauskas;2012;42;3:29:05
78;Saulius Čalkevičius;2012;42;3:29:07
79;Krzysztof Modzelewski;2012;42;3:29:15
80;Arvydas Drinkus;2012;42;3:29:23
81;Albert Veikša;2012;42;3:29:24
82;Benediktas Spirgys;2012;42;3:29:25
83;Egidijus Auškalnis;2012;42;3:29:25
84;Ligita Visockyte;2012;42;3:29:45
85;Egidijus Šustauskas;2012;42;3:30:23
86;Gediminas Kinderis;2012;42;3:30:24
87;Darius Kavaliauskas;2012;42;3:30:25
88;Sada Bukšnienė;2012;42;3:30:26
89;Martynas Janėnas;2012;42;3:30:39
90;Valerijus Cvetkovas;2012;42;3:30:45
91;Antanas Girčys;2012;42;3:31:02
92;Pladas Sarunas;2012;42;3:31:25
93;Deimantas Mitka;2012;42;3:31:54
94;Vytautas Krasnauskas;2012;42;3:32:23
95;Vaidotas Baužys;2012;42;3:32:29
96;Saulius Batavičius;2012;42;3:32:44
97;Nerijus Kliukas;2012;42;3:32:53
98;Leonardo Bollacasa;2012;42;3:32:59
99;Arnas Gabrėnas;2012;42;3:33:26
100;Andrius Jurkonis;2012;42;3:33:41
101;Michael Nordam;2012;42;3:34:07
102;Tadas Zaikauskas;2012;42;3:34:09
103;Tomas Matijošaitis;2012;42;3:34:17
104;Aras Petrevičius;2012;42;3:34:33
105;Jurij Dorofejev;2012;42;3:34:59
106;Arturas Genys;2012;42;3:35:07
107;Mažvydas Kekys;2012;42;3:35:20
108;Andrius Didžiulis;2012;42;3:35:32
109;Mindaugas Rakauskas;2012;42;3:35:35
110;Pavelas Jelkinas;2012;42;3:35:41
111;Algimantas Janušauskas;2012;42;3:36:12
112;Vaiva Žagaraitė;2012;42;3:36:32
113;Piotr Silkin;2012;42;3:36:35
114;Philippe Waroux;2012;42;3:36:42
115;Mantas Drūlia;2012;42;3:36:59
116;Dainius Kinderis;2012;42;3:37:07
117;Saulius Talačka;2012;42;3:37:11
118;Jonas Karalius;2012;42;3:37:30
119;Vidmantas Ložys;2012;42;3:37:43
120;Osvaldas Žurauskas;2012;42;3:37:58
121;Roberto Borsani;2012;42;3:38:06
122;Algirdas Striūka;2012;42;3:38:15
123;Dalius Cibulskas;2012;42;3:38:39
124;Mats Liljegren;2012;42;3:38:56
125;Andrej Žavoronkov;2012;42;3:38:58
126;Balys Bardauskas;2012;42;3:39:30
127;Tautvydas Strioga;2012;42;3:39:52
128;Damian Rezner;2012;42;3:40:13
129;Andersen Steen Enrico;2012;42;3:40:26
130;Juha Hiltula;2012;42;3:40:50
131;Giedrius Povilavičius;2012;42;3:40:51
132;Saulius Lesevičius;2012;42;3:41:15
133;Laurynas Mykolaits;2012;42;3:41:27
134;Paulius Černakauskas;2012;42;3:41:27
135;Tadas Vilutis;2012;42;3:42:26
136;Jurgen Sinthofen;2012;42;3:42:29
137;Artūras Čepukas;2012;42;3:42:32
138;Antanas Pazarauskas;2012;42;3:42:32
139;Paolo Marangoni;2012;42;3:42:35
140;Arvydas Jurgelevičius;2012;42;3:42:43
141;Arnold Laroye;2012;42;3:42:48
142;Edgaras Lubys;2012;42;3:42:51
143;Vaidas Rekštys;2012;42;3:43:09
144;Darius Stulgys;2012;42;3:43:12
145;Borisas Iljinas;2012;42;3:43:49
146;Rytis Bublevičius;2012;42;3:44:08
147;Sigitas Vyšniauskas;2012;42;3:44:24
148;Algirdas Pukis;2012;42;3:44:31
149;Vytenis Bučius;2012;42;3:44:32
150;Vilius Pargaliauskas;2012;42;3:44:35
151;Nežinomas Dalyvis;2012;42;3:44:42
152;Sigitas Ciukša;2012;42;3:44:42
